commit,description,lines_changed,size,best_unbounded,status
215a7f5,initial solution,+189,creation,100,keep
f2f14ee,add 3-opt triple optimization,+52,medium (~28%),100,discard
a5604d7,revert,-52,medium,(→ 100),revert
5061552,residual fill after 2-opt,+17,small (~9%),100,discard
2d2fa09,revert,-17,small,(→ 100),revert
29d0e72,systematic deterministic 2-opt,+23/-20,small,100,discard
3999b77,revert,+20/-23,small,(→ 100),revert
828dbcb,final 3-opt pass on best solution,+38,medium (~20%),100,discard
06e1b5e,revert,-38,medium,(→ 100),revert
61a51f6,SA kick-and-reoptimize loop,+50,medium (~27%),100,discard
9395b05,revert,-50,medium,(→ 100),revert
a96501b,deterministic seeds with density mix,+20,small (~11%),100,discard
a8d2182,revert,-20,small,(→ 100),revert
d8c9ab0,density-biased random shuffle,+14/-1,small,100,discard
28246c9,revert,+1/-14,small,(→ 100),revert
25ed743,deduplicate pool candidates,+8,tiny,100,discard
adb19fe,revert,-8,tiny,(→ 100),revert
e56958d,adaptive generation termination,+12/-4,small,100,discard
35dfcca,revert,+4/-12,small,(→ 100),revert
7c5de25,inline 3-opt per pool iteration,+28,small (~15%),100,discard
ad5f48d,revert,-28,small,(→ 100),revert
008665a,fixed capacity weights for density,+2/-2,tiny,100,discard
4a849b0,revert,+2/-2,tiny,(→ 100),revert
4ca48e7,drop-one-refill polish,+43,medium (~23%),100,discard
256bbbb,revert,-43,medium,(→ 100),revert
54a5e3b,weighted density seeded make_cand,+10/-15,small,100,discard
7ef70dc,revert,+15/-10,small,(→ 100),revert
9e0e6ef,single-item enumeration polish,+56,medium (~30%),100,discard
f48cf86,revert,-56,medium,(→ 100),revert


# Analysis
# File: reference_problem1.cpp (188 lines)
# Score trajectory: 100 (initial) → 100 (every attempt). 14 attempts, 0 improvements.
#
# This is a ceiling case — the initial solution already hits the maximum score of 100, so no follow-up could improve it.
# Iterations are small-to-medium (8-56 lines, never above ~30% of file).
# Every attempt is followed by an explicit revert (classic problem_0-style discipline), in contrast to problem_1 which had no reverts.
#
# Comparison to problem_1 (solutions_1.cpp):
# - reference: clean iterate/revert discipline, all small-to-medium edits, never broke ceiling of 100.
# - solutions_1: no reverts, layered huge rewrites (+100-150 lines each) onto each other, ceiling of 99.613 broken only by a tiny 4-line sort-order tweak (→ 99.743).
# - Both runs show the same lesson: once the score is near-optimal, structural rewrites don't help — only targeted small changes (or no change at all) can move the needle.
#
# Comparison to problem_0_reference:
# - Same iterate/revert pattern.
# - But problem_0_reference still had headroom (89.09 → 89.76 across 3 keeps); problem_1_reference started at the ceiling, so all 14 attempts were doomed to be discarded.
