iteration	approach	details	rationale	revert_to
0	skyline bottom-left fill with rotations and reflections	Input: read n, then for each piece i read k_i followed by k_i (x,y) lines. Precompute the 8 orientations per piece (rotations 0,1,2,3 combined with reflection 0,1); for each orientation translate so min cell is (0,0) and store cells as a vector of (dx,dy). For each orientation cache bbox width w, bbox height h, and an array min_dy_at_col[dx] over occupied columns plus the max dy at each column. Let T be the total cell count and start W at ceil(sqrt(T)). Sort original piece indices by their largest orientation bbox area descending (tiebreak: k_i descending). For each candidate W, maintain skyline[0..W-1] initialized to zero and a W by W occupancy bitset. For each piece in sorted order, scan every orientation and every x0 in 0..W-w; compute drop y0 = max over occupied columns dx of (skyline[x0+dx] - min_dy_at_col[dx]); if y0 + h is greater than W skip; verify with the occupancy bitset that no cell collides (concave shapes may need an upper-row cell to clear a lower lip); score lex by (y0 + h, y0, x0) ascending and keep the best (orientation, x0, y0). If no placement exists at this W, increment W and restart packing from scratch. After placing, mark cells in the bitset and update skyline at each used column dx to max(skyline[x0+dx], y0 + max_dy_at_col[dx] + 1). Track per original index the chosen (X,Y,R,F): the local cell (cx,cy) maps by first applying F (when F=1 send (cx,cy) to (-cx,cy)), then R clockwise quarter rotations, then translation (X,Y); pick (X,Y) so the bottom-left of the transformed piece sits at (x0,y0). Output W W on line one followed by n lines of X Y R F in original input order.	Establishes a strong baseline that exploits the full 8-orientation symmetry and a skyline drop heuristic prioritizing large pieces; this is a fresh direction since the artifact archive was cleared for the new run.	none
1	skyline BL with maximum-contact scoring	Keep the orientation precomputation, piece ordering, skyline, and occupancy bitset from the current solution. Change only the placement-scoring step inside the BL search. For each candidate (orientation, x0, y0=skyline-drop), after the overlap check, compute a contact count C as the number of unit edges of the piece that touch either the rectangle boundary or an already-occupied cell. Concretely, for every piece cell (cx,cy) at (gx,gy)=(x0+cx,y0+cy), examine the 4 neighbors (gx+dx,gy+dy) for (dx,dy) in (1,0),(-1,0),(0,1),(0,-1): if the neighbor lies outside [0,W)x[0,W) increment C; else if occ at that neighbor is 1 increment C; do not count neighbors that are themselves cells of the same piece being placed (build a small hash set or boolean grid of the piece-cells first to exclude them). Replace the current lexicographic score (y0+h, y0, x0) with (y0+h ascending, C descending, y0 ascending, x0 ascending). The primary key still keeps the skyline low; the C tiebreak rewards filling corners and pockets so concave shapes get plugged tightly. Skyline and occupancy updates after placement are unchanged. If no candidate exists at the current W, increment W and restart packing exactly as before. Output format unchanged (W W on first line; per-piece X Y R F in original input order).	Adds the well-known contact (touching-perimeter) heuristic as a tiebreak inside BL drop, which empirically reduces internal holes and tightens packing of concave polyominoes; continues to refine the still-young BL direction.	none
2	true bottom-left with per-column bitmap collision	Keep input parsing, the 8-orientation precomputation (cols, min_dy, max_dy, bbox w h, min_tx, min_ty), the piece ordering by max bbox area descending then k descending, and the W=ceil(sqrt(T)) start with W increment on failure. Replace the W by W vector occ with a packed bitmap: for each global column gx an array col_bits[gx] of ceil(W/64) uint64 words where bit y of word w means row 64w+y of column gx is occupied. Replace the skyline-drop y0 with a full bitmap search so pieces can slide below the skyline into pockets under lateral overhangs. For each (piece, orientation) precompute per piece-column dx the list pattern_dx of dys where the piece has a cell. For each candidate (orientation, x0) build an aggregate blocked uint64 array total_blocked of ceil(W/64) words initialized to zero. For each piece column dx and each dy in pattern_dx, compute the rightshift-by-dy of col_bits[x0+dx] (this gives a bitset where bit y is 1 iff row y+dy of column x0+dx is occupied) and OR it into total_blocked. Also OR in an upper-tail mask that sets all bits at indices greater than or equal to (W minus h plus 1) so out-of-top y0 values are blocked. Find the lowest 0-bit of total_blocked at index 0..W-h using builtin_ctzll on the bitwise NOT of each word from low to high; that index is y0. If no such 0-bit exists, skip this (orientation, x0). Compute contact count C as before: for each piece cell at global (gx,gy)=(x0+cx,y0+cy), examine the 4 neighbors and count those that are out of bounds in 0..W or whose bit is set in col_bits[neighbor_gx], excluding neighbors that are part of the same piece being placed (use a small w by h boolean pmask of the piece-cells to exclude). Score (orientation, x0, y0) lex by (y0+h ascending, C descending, y0 ascending, x0 ascending) and keep the best. Placement update: for each piece cell (cx,cy) set bit (y0+cy) of col_bits[x0+cx]. Skyline arrays are no longer required for placement and may be removed. Per-piece (X,Y,R,F) recovery: same as current code; X = x0 - o.min_tx, Y = y0 - o.min_ty, R = orientation modulo 4, F = orientation divided by 4. Output W W on line one then n lines of X Y R F in original input order.	True BL placement lets concave pieces tuck under lateral overhangs that the skyline-only drop misses, which should reduce wasted column-space and continue the still-maturing BL direction toward a tighter pack.	none
3	multi-ordering BL with max-dimension-first fallback	Keep all of iter-2 structures (8 orientations per piece, true-BL placement via per-column bitmap, contact-count tiebreak, scoring tuple of y0+h asc then C desc then y0 asc then x0 asc, placement recovery via X=x0-min_tx and Y=y0-min_ty). Add a second piece-ordering used as a fallback within each W trial. Precompute two orderings of the piece indices: order1 equals the current one (maxArea desc, k desc); order2 sorts by the maximum over all 8 orientations of max(o.w, o.h) descending, tiebreak by k desc, then by maxArea desc. In the outer W loop starting at W = ceil(sqrt(T)) and incrementing by 1 on failure, for each W first run the full greedy pack using order1 into a temporary col_bits and temporary (tX,tY,tR,tF) arrays. If every piece is placed successfully, copy temporaries into outX/outY/outR/outF and break. If any piece fails to find a placement under order1, reset col_bits to all zeros (and the temporary outputs) and run the full greedy pack at the same W using order2; if order2 succeeds, copy its temporaries out and break. If both orderings fail at this W, increment W and continue. Reuse a single col_bits allocation (re-zeroed at the start of each trial) and a single set of temp arrays to keep memory flat. The per-piece BL inner search (orientation loop, bitmap shift-OR into total_blocked, ctzll-based lowest-zero search, contact-count, lexicographic best tracking) is unchanged. Output format unchanged: line one is W W; subsequent n lines are X Y R F in original input order. Edge note: order2 may produce a different placement geometry, but the temporary buffers ensure outX/outY/outR/outF only ever reflect a fully completed pack, so a failed order1 cannot corrupt the final output.	Diverse orderings often unlock a smaller W when one ordering hits a local dead-end that the other avoids, and max-dimension-first is the standard complement to max-area-first; this widens the BL search at roughly the cost of one extra packing attempt only at W values where the first ordering already fails, so it continues maturing the still-improving BL direction without changing the per-piece engine.	none
4	floor-match scoring with k-descending fallback ordering	Keep all iter-3 structures intact (8 orientations per piece, true-BL placement via per-column bitmap col_bits, contact count C, multi-ordering fallback chain). Two changes. Change A: add a per-column top-of-stack array hh of length W; hh[gx] holds one plus the highest occupied row in column gx (0 if the column is empty); after each successful piece placement, for each piece column dx update hh[x0+dx] to max of hh[x0+dx] and y0 plus o.max_dy[dx] plus 1; reset hh to all zeros at the start of each tryPack call (alongside the col_bits reset). Change B: insert a new scoring criterion called floor_match between y0+h and C. For a candidate (orientation, x0, y0), floor_match is the count of piece columns dx for which y0 plus o.min_dy[dx] equals hh[x0+dx], that is, the bottom piece-cell at that column rests directly on the prior column-top below. Replace the scoring tuple with the lexicographic order (y0+h ascending, floor_match descending, C descending, y0 ascending, x0 ascending). Change C: extend the fallback chain in main from order1 plus order2 to order1 plus order2 plus order3, where order3 sorts piece indices by k_i descending then maxArea descending then maxDim descending (a genuinely different lead, purely cell-count-driven). The W-trial body becomes try order1; on failure try order2; on failure try order3; on failure increment W. Reuse a single col_bits and hh allocation re-zeroed at the start of each tryPack call. Edge note: a freshly empty column has hh equal to 0, so a piece resting on the rectangle floor counts as a floor-match. Output format unchanged: line one W W, then n lines X Y R F in original input order.	Floor-match directly rewards the bottom-bearing fit that BL aims for and breaks ties between equally low top-edges with a finer discriminator than total contact while a cell-count-driven third ordering widens the W-trial search to expose smaller feasible W values; continues the still-maturing BL direction.	none
5	BL with floating-gap-sum scoring	Revert to c795078 (iter-3 baseline) and apply two changes. Change A: add a per-column top-of-stack array hh of length W to each tryPack call; hh[gx] is one plus the highest occupied row in column gx (0 if empty); reset hh to zero alongside col_bits at the top of tryPack; after each successful placement, for each piece column dx update hh[x0+dx] to max(hh[x0+dx], y0 + o.max_dy[dx] + 1). Change B: insert a new scoring criterion gap_sum between y0+h and C. For a candidate (orientation, x0, y0), gap_sum is the sum over dx in o.cols of max(0, y0 + o.min_dy[dx] - hh[x0+dx]); this counts the empty cells that the piece floats above the current column-tops at the piece-occupied columns (concave pockets of the piece that hang over a taller pillar contribute zero because of the clamp at 0). Replace the iter-3 scoring tuple (y0+h asc, C desc, y0 asc, x0 asc) with (y0+h ascending, gap_sum ascending, C descending, y0 ascending, x0 ascending); gap_sum is preferred lower since a placement with no floating cells is the tightest fit at the given top-edge. Keep all other iter-3 structures intact (8 orientations per piece, true-BL via per-column bitmap col_bits with shift-OR and ctzll lowest-zero search, contact count C unchanged, order1 by maxArea desc then k desc, order2 by maxDim desc then k desc then maxArea desc, fallback chain of try order1 then order2 then increment W). Do not introduce a third ordering. Reuse a single col_bits and hh allocation re-zeroed at the start of each tryPack call. Edge note: a fresh empty column has hh equal to 0, so a piece column resting on the rectangle floor contributes zero gap. Output format unchanged: line one W W, then n lines X Y R F in original input order.	Gap-sum is a finer-grained packing-tightness signal than the iter-4 floor-match (which counted only zero-gap columns), so it should discriminate better among placements that share the lowest top-edge while avoiding the regression floor-match introduced; this revives the iter-2 to iter-3 maturing trend by replacing the failed iter-4 scoring with a more informative variant.	c795078
6	BL with K-piece lookahead candidate selection	Revert to c795078 (iter 3 baseline). Keep all iter-3 structures (8 orientations per piece with min_tx, min_ty, w, h, cols, min_dy, max_dy, pattern_dx; true-BL placement via per-column bitmap col_bits with shift-OR aggregation into total_blocked and ctzll lowest-zero search bounded by y0 less or equal to W minus o.h; contact-count C; per-piece recovery X=x0-min_tx, Y=y0-min_ty, R=orientation modulo 4, F=orientation divided by 4). Keep both orderings: order1 by maxArea desc then k desc, order2 by maxDim desc then k desc then maxArea desc. Keep the fallback chain in main: try order1, on failure try order2, on failure W++. Drop the iter-5 hh and gap_sum machinery entirely; the lex tuple inside the BL inner search reverts to (y0+h ascending, C descending, y0 ascending, x0 ascending). Change (new placement strategy inside tryPack): add a placed boolean array of length n initialized to false at the top of tryPack and an integer scanFront initialized to 0. Outer step loop runs until all n pieces are placed. In each step, scan order starting at scanFront and collect up to K=4 unplaced piece indices in order; advance scanFront past already-placed entries during this scan. For each collected candidate, run the full iter-3 BL inner search to compute its best lex tuple and best (orientation, x0, y0); if no valid placement exists at this W for that candidate, treat its lex tuple as positive infinity. Among the K candidate-best tuples, select the candidate with the smallest lex tuple; ties broken by the candidate that appears earliest in order. If all K candidates have infinite lex tuples, return false from tryPack (failure at this W). Otherwise place the selected candidate: write its cells into col_bits, set placed[chosen]=true, fill tF, tR, tX, tY for that piece using the recovery formulas. Continue stepping until all pieces are placed; return true. Reuse a single col_bits allocation re-zeroed at the start of each tryPack call. Output format unchanged: line one W W, then n lines X Y R F in original input order.	K-piece lookahead lets the placer pick the piece that fits the current state best at every step instead of being locked into a fixed sort order, exploring more of the placement landscape than any single ordering can; this opens a genuinely new direction since gap-sum scoring did not move iter-5 past iter-3 and the BL direction has flattened around 75.5.	c795078
7	multi-start BL with within-tier shuffled orderings	Revert to c795078 (iter-3 baseline). Keep all iter-3 structures intact: 8 orientations per piece (with min_tx, min_ty, w, h, cols, min_dy, max_dy, pattern_dx, cells); true-BL placement via per-column bitmap col_bits with shift-OR aggregation into total_blocked and ctzll lowest-zero search bounded by y0 less or equal to W minus o.h; contact-count C; lex tuple (y0+h ascending, C descending, y0 ascending, x0 ascending); per-piece recovery X=x0-min_tx, Y=y0-min_ty, R=orientation mod 4, F=orientation div 4; order1 by maxArea desc then k desc; order2 by maxDim desc then k desc then maxArea desc. Add multi-start within-tier random shuffling. After computing order1 in main, build a vector tier_groups that groups order1 positions by the maxArea value of the piece at that position: walk through order1 in order and start a new group whenever maxArea changes; each group stores the contiguous range of order1 positions belonging to that maxArea tier. Add an mt19937 rng seeded with 0xC0FFEE for determinism. Add a helper makeShuffled(rng) that returns a fresh ordering vector: start with a copy of order1, then for each tier_group apply Fisher-Yates shuffle to the slice of order1 at that group's positions using rng; pieces stay within their maxArea tier so the large-first principle is preserved while ties are broken differently each call. In the W loop, replace the current order1-then-order2 fallback with this extended chain: try order1; if fail try order2; for trial r in 0..7 generate shuffled = makeShuffled(rng) and try shuffled; if all ten fail increment W. The first successful tryPack copies its temp arrays (tX,tY,tR,tF) into outX/outY/outR/outF and breaks. Reuse a single col_bits allocation re-zeroed at the start of each tryPack call. The K-lookahead step loop from iter-6 is removed; tryPack returns to the iter-3 form that walks the given order linearly placing one piece at each step using findBest. Output unchanged: line one is W W, then n lines of X Y R F in original input order.	Within-maxArea shuffling preserves the large-first principle but lets BL explore many different sub-orderings at each W, giving 10 chances at the minimum feasible W instead of 2 and exposing tighter packings that the two fixed orderings happen to miss; this opens a new direction since pure scoring-tweak iters 4 and 5 and the lookahead iter 6 all failed to improve on iter 3.	c795078
8	Burke best-fit lowest-skyline with bounded candidate pool	Revert to c795078 (iter 3 baseline). Keep all iter-3 structures: 8 orientations per piece (min_tx, min_ty, w, h, cells, cols, min_dy, max_dy, pattern_dx); per-column bitmap col_bits; bitmap shift-OR collision; contact count C; per-piece recovery X=x0-min_tx, Y=y0-min_ty, R=orientation modulo 4, F=orientation divided by 4. Replace the fixed-order BL placement loop with a Burke-style best-fit lowest-skyline placement loop. Add a precomputed priorityOrder (sort piece indices by maxArea desc, then ks desc) computed once in main. Add per-piece min_w_orient = min over 8 orientations of o.w and min_h_orient = min over 8 orientations of o.h. Inside tryPack: reset col_bits to zeros; add skyline of length W initialized to zeros; add placed boolean array of length n initialized to false; let remaining = n. Outer step loop while remaining greater than 0. Step a: find min_h = min of skyline; find leftmost lo where skyline[lo] equals min_h; extend hi past lo to the smallest index where skyline[hi] does not equal min_h (hi = W if the gap reaches the right edge); compute w_gap = hi - lo; h_left = (lo equals 0) then INT_MAX else skyline[lo-1]; h_right = (hi equals W) then INT_MAX else skyline[hi]. Step b: build a candidate pool of up to K = 24 unplaced piece indices by walking priorityOrder linearly, skipping placed entries, and including pi only if min_w_orient[pi] is at most w_gap and min_h + min_h_orient[pi] is at most W; stop after K accepted entries. Step c: for each candidate pi in the pool, for each orientation oi where o.w is at most w_gap and min_h + o.h is at most W, for x0 in [lo, hi - o.w]: set y0 = min_h (the gap floor is uniformly min_h across [lo, hi) by construction so the bitmap drop reduces to y0 = min_h and the bitmap collision check is unnecessary). Score waste = (x0 - lo) + (hi - x0 - o.w); top = y0 + o.h; if waste is greater than bestWaste then skip the candidate immediately without computing C (early prune). Compute contact count C exactly as in iter 3 (4-neighbor count of cells that are out of bounds in [0,W)x[0,W) or whose bit is set in col_bits at the neighbor column, excluding piece-own cells via a small pmask of o.w by o.h). Track the best (pi, oi, x0, y0) across all candidates using lex tuple (waste ascending, C descending, top ascending, x0 ascending). Step d: if a best was found, place it by setting bits in col_bits at (x0+cx, y0+cy) for each cell c of o.cells; set placed[pi] = true; decrement remaining; for each column gx in [x0, x0+o.w) update skyline[gx] = max(skyline[gx], y0 + o.max_dy[gx - x0] + 1); record tF[pi] = oi divided by 4, tR[pi] = oi modulo 4, tX[pi] = x0 - o.min_tx, tY[pi] = y0 - o.min_ty. Step e: if no best was found in this step, compute new_h = min(h_left, h_right); if new_h equals INT_MAX or new_h is at least W return false from tryPack; otherwise raise the gap by writing skyline[c] = new_h for c in [lo, hi) and continue the outer loop. Drop order2, drop the multi-shuffled fallback, drop the iter-6 K-lookahead logic; the Burke loop is the sole packer per W. Main W loop: start W = ceil(sqrt(T)); on each iteration allocate col_bits and temporary tX tY tR tF arrays, call tryPack once; on success copy temporaries to outX outY outR outF and break; on failure free temporaries, increment W, and retry. Output unchanged: first line is W W; then n lines of X Y R F in original input order. Edge note: when w_gap equals W (initial state) the candidate pool naturally includes the largest pieces first via priorityOrder; when w_gap shrinks during play the early-prune on waste plus the min_w_orient filter keep the inner search fast.	Burke best-fit lowest-skyline is a fundamentally different paradigm from fixed-order BL because piece selection is driven by the geometry of the current lowest skyline gap rather than a pre-sorted iteration order so awkward concave pockets that fixed-order BL misses get filled by whichever unplaced piece best matches the gap width; this opens a new direction since iters 4 through 7 (scoring tweaks, K-lookahead, shuffled multi-start) all flattened around the iter-3 score of 75.58.	c795078
9	BL with diverse deterministic ordering chain	Revert to c795078 (iter-3 baseline). Keep every iter-3 structure: 8 orientations per piece (min_tx, min_ty, w, h, cells, cols, min_dy, max_dy, pattern_dx); true-BL via per-column bitmap col_bits with shift-OR aggregation into total_blocked and ctzll lowest-zero search; contact-count C; lex tuple (y0+h ascending, C descending, y0 ascending, x0 ascending); per-piece recovery X=x0-min_tx, Y=y0-min_ty, R=orientation modulo 4, F=orientation divided by 4. The single change is at the ordering chain inside main. Compute these five deterministic orderings up front from the 8 orientation summaries per piece: order1 by maxArea desc then k desc (existing); order2 by maxDim desc then k desc then maxArea desc (existing); order3 (new) by perimeter desc then maxArea desc then k desc where perimeter equals 2 times (maxOrientW plus maxOrientH) and maxOrientW, maxOrientH are the max over 8 orientations of o.w and o.h; order4 (new) by k_i desc then maxArea desc then maxDim desc; order5 (new) by minBboxArea desc then maxArea desc then k desc where minBboxArea is the min over 8 orientations of o.w times o.h (rewards pieces whose smallest-footprint orientation is still large). In the W loop starting at W = ceil(sqrt(T)), at each W try order1; on failure reset col_bits and the temp tX, tY, tR, tF arrays to zero and try order2; on failure reset and try order3; on failure reset and try order4; on failure reset and try order5; if all five fail, increment W and continue. The first ordering that returns true from tryPack copies its temp arrays into outX, outY, outR, outF and the W loop breaks. Reuse a single col_bits allocation and one set of temp arrays across trials (re-zero them at the start of every tryPack call). Do not introduce any randomness, shuffles, lookahead, gap_sum, floor_match, or skyline-evenness logic; the per-piece inner BL engine (orientation loop, bitmap shift-OR, ctzll lowest-zero, contact-count scoring, lex tuple selection, per-piece recovery) is byte-for-byte identical to iter-3. Output unchanged: line one W W, then n lines of X Y R F in original input order.	The iter-3 BL engine has matured around 75.5 with two orderings and pure scoring tweaks (iters 4 and 5) have not helped; widening only the ordering chain with five meaningfully distinct deterministic criteria is the cheapest way to expose a smaller feasible W on tests where order1 and order2 both deadlock, and unlike iter-7 deterministic orderings avoid the cost and instability of eight random shuffles per W.	c795078
